county,licnum,sitename,streetaddy,cityaddy,zip,0
Dade,2328723,El Gran Inka,3155 NE 163 St,Golden Beach,33160,2
Dade,2328689,China Buffet,18690 NW 67 Ave,Hialeah,33015,2
Dade,2316938,Bagel Cove Restaurant And Deli,19003 Biscayne Blvd,Aventura,33180,2
Dade,2301334,Mingies Chinese Restaurant,760 NW 183rd St,Miami,33169,2
Pinellas,6216424,Shark Tales,677 75 Ave,St.Pete Beach,33706,2
Volusia,7403366,Mannys Pizza,3318 S Atlantic Ave,New Smyrna Beach,32169,2
Citrus,1900890,Suncoast Bar & Grill,10350 W Yulee Dr,Homosassa,34448,2
Dade,2326861,China Express,5301 NE 2 Ave,Miami,33137,2
Marion,5202925,Freddy's Frozen Custard & Steakburger,"3558 SW College Road,, Suite 100",Ocala,34474,2
Brevard,1506204,Thai Thai House,"215 Palm Bay Road NE, Suite 169",Melbourne,32904,2
Broward,1623958,Sabores Brasil,4831 N Dixie Hwy,Deerfield Beach,33064,2
Highlands,3800549,Oscar's Family Restaurant,267 US 27 N,Sebring,33870,2
Orange,5801751,Moghul Indian Cuisine,401 N Semoran Blvd,Winter Park,32792,2
St. Johns,6501451,Dan Murphy's Irish Pub,"4320 A1A South, Suite 9 & 10",Saint Augustine,32080,2
Brevard,1505386,Asian Gourmet,459 N Harbor City Blvd,Melbourne,32935,2
Citrus,1900026,Oysters Restaurant,606 NE US Hwy 19,Crystal River,34429,2
Bay,1305465,Ketana Thai Restaurant And Sushi Bar,10514 Front Beach Road,Panama City Beach,32407,2
Hillsborough,3918192,China 1,"4350 W Water Ave , Suite 103",Tampa,33614,2
Hillsborough,3917455,Dosa Hut,10029 W Hillsborough Ave,Tampa,33615,2
Palm Beach,6007995,Peking Place,531 S Main St,Belle Glade,33430,2
Duval,2615135,Brentwood Golf Course,1157 Mbo1 Golfair Blvd.,Jacksonville,32209,2
Seminole,6900043,Mayfair Country Club,3536 Country Club Road,Sanford,32773,2
Pasco,6102516,Niko's Grill,14100 Hicks Road,Hudson,34669,2
Jackson,4200539,Dairy Queen Grill And Chill,State Road 71,Marianna,32448,2
Duval,2611391,Country Cabin,1401 Dunn Ave,Jacksonville,322184835,2
Pinellas,6217634,Perrys Restaurant,3405 34 St N,St. Petersburg,33713,2
Pinellas,6216540,Britts Pizza,10709 Gulf Blvd,Treasure Island,33706,2
Dade,2316103,Los Primos Cafeteria & Grill #2,1864 SW 8 St,Miami,33135,2
Lee,4606678,Buffalo Wild Wings,25271 Chamber Of Commerce Dr,Bonita Springs,34134,2
Pinellas,6216322,Senor Taco,6447 Park Blvd Ste# 1,Pinellas Park,33781,2
Broward,1620974,Tamarac Thai And Sushi,7658 N Nob Hill Road,Tamarac,33321,2
Duval,2609086,Jax Market Place Take-0Ut #1,614 Pecan Park Road,Jacksonville,32218,2
