county,licnum,sitename,streetaddy,cityaddy,zip,closures_fy18,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Orange,5813552,Flavors Nigerian Restaurant,3530 S Orange Ave,Orlando,32806,2,28.503739,-81.376584,1,rooftop,3530,S Orange Ave,Orlando,FL,Orange County,32806,US,Orange County
Orange,5804849,Relax Grill At Lake Eola Llc,211 Eola Pkwy,Orlando,32801,2,28.543977,-81.372907,1,rooftop,211,Eola Pkwy,Orlando,FL,Orange County,32801,US,Orange County
Hernando,3700820,Up 4 Breakfast,14359 Spring Hill Drive,Spring Hill,34609,2,28.48024,-82.487107,1,rooftop,14359,Spring Hill Dr,Brooksville,FL,Hernando County,34609,US,Hernando
Palm Beach,6019804,Caribe Cafe,3068 Lake Worth Road #1,Palm Springs,33461,2,26.617226,-80.090256,1,rooftop,3068,Lake Worth Rd,Lake Worth,FL,Palm Beach County,33461,US,Palm Beach County
Dade,2335016,Eat Greek Express,3530 Biscayne Blvd,Miami,33137,2,25.809905,-80.189855,1,rooftop,3530,Biscayne Blvd,Miami,FL,Miami-Dade County,33137,US,Miami
Duval,2610303,Jax What's Cookin,1921 Lane Ave S,Jacksonville,32210,2,30.284211,-81.755257,1,rooftop,1921,Lane Ave S,Jacksonville,FL,Duval County,32210,US,Duval
Hillsborough,3916818,Cheval Golf And Country Club,4312 Cheval Blvd,Lutz,33558,2,28.150016,-82.50714,1,rooftop,4312,Cheval Blvd,Land O' Lakes,FL,Hillsborough County,33558,US,Hillsborough County
Santa Rosa,6700046,Milton Tastee Freez,6511 Caroline St,Milton,32570,2,30.61733,-87.050274,1,rooftop,6511,Caroline St,Milton,FL,Santa Rosa County,32570,US,Santa Rosa
Pinellas,6217366,Maria Alicia's Cantina,530 Cleveland St,Clearwater,33755-4008,2,27.965843,-82.799105,1,rooftop,530,Cleveland St,Clearwater,FL,Pinellas County,33755,US,Pinellas
Dade,2334349,Leamington Hotel,307 NE 1 St,Miami,33132,2,25.777248,-80.187997,0.9,range_interpolation,307,Us Hwy 1,Miami,FL,Miami-Dade County,33132,US,TIGER/Lineå¨ dataset from the US Census Bureau
Duval,2612747,Oceanway Bar And Grille,12905 N Main St,Jacksonville,32218,2,30.471063,-81.630894,1,rooftop,12905,N Main St,Jacksonville,FL,Duval County,32218,US,MapWise (and individual Florida counties)
Manatee,5105409,Sunshine Caribbean Restaurant,6320 15 St E 2,Sarasota,34243,2,27.428366,-82.547465,1,rooftop,6320,15th St E,Sarasota,FL,Manatee County,34243,US,Manatee
Pinellas,6217107,Halong Bay 2,"10500 Ulmerton Road, Suite 288",Largo,33771-3536,2,27.892083,-82.783448,1,rooftop,10500,Ulmerton Rd,Largo,FL,Pinellas County,33771,US,Pinellas
Dade,2331198,Kyojin Japanese Seafood Buffet,6212 S Dixie Hwy,South Miami,33143,2,25.701003,-80.293447,1,range_interpolation,6212,S Dixie Hwy,South Miami,FL,Miami-Dade County,33143,US,TIGER/Lineå¨ dataset from the US Census Bureau
Clay,2001382,Charlie's Southern Bistro,206 S Orange Ave,Green Cove Springs,32043,2,29.991637,-81.677973,1,rooftop,206,S Orange Ave,Green Cove Springs,FL,Clay County,32043,US,Clay County
